step,total_steps,loss,kl_loss,policy_ratio,reward_avg,format_reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
57,500,0.000000,0.000000,1.000000,0.750000,0.375000,48.223873,490.125000,0.000000,0.999903,0.502701,
58,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.520454,786.250000,0.000000,0.999903,0.611687,
59,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.887881,777.000000,0.000000,0.999903,0.566565,
60,500,0.000000,0.000000,1.000000,0.750000,0.375000,47.259820,920.000000,0.000000,0.999903,0.465193,
61,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.508669,892.625000,0.000000,0.000000,0.697263,
62,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.489227,727.500000,0.000000,0.999903,0.434283,
63,500,0.000000,0.000000,1.000000,1.750000,0.875000,45.919786,586.500000,0.000000,0.999859,0.514034,
64,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.110246,477.875000,0.000000,0.000000,0.426644,
65,500,0.000000,0.000000,1.000000,1.000000,0.500000,47.446895,714.625000,0.000000,0.999906,0.652170,
66,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.949369,665.625000,0.000000,0.999892,0.648954,
67,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.656069,1023.375000,0.000000,0.000000,0.910477,
68,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.073301,882.750000,0.000000,0.999892,0.433648,
69,500,0.000000,0.000000,1.000000,1.000000,0.500000,47.400220,971.375000,0.000000,0.999906,0.510755,
70,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.128002,224.625000,0.000000,0.000000,0.442231,
71,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.497743,540.625000,0.000000,0.999859,0.589319,
72,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.950437,654.000000,0.000000,0.999859,0.471685,
73,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.223372,497.750000,0.000000,0.000000,0.544237,
74,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.180807,396.625000,0.000000,0.000000,0.435869,
75,500,0.000000,0.000000,1.000000,0.000000,0.000000,41.409103,1024.000000,0.000000,0.000000,1.005470,
76,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.059928,384.250000,0.000000,0.000000,0.505597,
77,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.483928,795.000000,0.000000,0.999892,0.666603,
78,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.532729,358.875000,0.000000,0.000000,0.389944,
79,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.097343,493.125000,0.000000,0.000000,0.659485,
80,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.372255,284.125000,0.000000,0.000000,0.638424,
81,500,0.000000,0.000000,1.000000,1.500000,0.750000,48.102283,656.500000,0.000000,0.999892,0.492484,
82,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.924932,384.875000,0.000000,0.000000,0.487486,
83,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.780754,876.875000,0.000000,0.999903,0.698993,
84,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.635071,632.750000,0.000000,0.999903,0.511454,
85,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.547383,350.875000,0.000000,0.000000,0.415029,
86,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.863096,241.500000,0.000000,0.000000,0.598385,
87,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.943605,358.500000,0.000000,0.000000,0.417134,
88,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.380046,512.000000,0.000000,0.000000,0.371684,
89,500,0.000000,0.000000,1.000000,0.250000,0.125000,46.391959,1020.000000,0.000000,0.999859,1.146304,
90,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.367607,1024.000000,0.000000,0.000000,1.041526,
91,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.004684,775.500000,0.000000,0.999892,0.843683,
92,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.132266,285.375000,0.000000,0.000000,0.635791,
93,500,0.000000,0.000000,1.000000,1.000000,0.500000,47.564756,871.750000,0.000000,0.999906,0.781679,
94,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.934379,709.000000,0.000000,0.999892,0.748152,
95,500,0.000000,0.000000,1.000000,0.000000,0.000000,49.306391,293.250000,0.000000,0.000000,0.484360,
96,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.722025,246.500000,0.000000,0.000000,0.574317,
97,500,0.000000,0.000000,1.000000,0.250000,0.125000,47.551719,766.000000,0.000000,0.999859,0.965994,
98,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.440308,589.500000,0.000000,0.000000,0.663831,
99,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.025571,361.500000,0.000000,0.000000,0.642466,
100,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.388080,479.500000,0.000000,0.000000,0.615035,56.2
101,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.403162,883.375000,0.000000,0.999892,0.937773,
102,500,0.000000,0.000000,1.000000,1.500000,0.750000,48.435121,497.250000,0.000000,0.999892,0.626097,
103,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.224106,928.125000,0.000000,0.999892,1.047020,
104,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.558082,227.000000,0.000000,0.000000,0.567877,
105,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.227126,464.500000,0.000000,0.000000,0.833498,
106,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.055067,638.000000,0.000000,0.999859,0.854279,
107,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.287564,290.375000,0.000000,0.000000,0.828018,
108,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.208053,377.500000,0.000000,0.000000,1.002622,
109,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.893498,395.750000,0.000000,0.000000,0.632418,
110,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.686939,1024.000000,0.000000,0.000000,1.213838,
111,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.723834,436.875000,0.000000,0.000000,0.759819,
112,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.592832,1024.000000,0.000000,0.000000,1.042509,
113,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.619815,448.125000,0.000000,0.000000,0.891293,
114,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.892606,254.375000,0.000000,0.000000,0.664201,
115,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.705858,510.875000,0.000000,0.999859,0.798793,
116,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.579208,293.625000,0.000000,0.000000,0.713472,
117,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.705745,1024.000000,0.000000,0.000000,1.324582,
118,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.660663,288.625000,0.000000,0.000000,0.734313,
119,500,0.000000,0.000000,1.000000,0.000000,0.000000,44.182394,1024.000000,0.000000,0.000000,1.459440,
120,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.750882,622.625000,0.000000,0.999859,0.872669,
121,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.152945,975.375000,0.000000,0.000000,1.199593,
122,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.397961,1024.000000,0.000000,0.000000,1.406613,
123,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.571724,1024.000000,0.000000,0.000000,1.522635,
124,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.254363,318.500000,0.000000,0.000000,0.750521,
125,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.718428,1024.000000,0.000000,0.000000,1.625895,
126,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.753514,765.875000,0.000000,0.999859,0.961779,
127,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.964473,1024.000000,0.000000,0.000000,1.442656,
128,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.663503,459.375000,0.000000,0.000000,0.773570,
129,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.260971,833.000000,0.000000,0.999903,1.286274,
130,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.986329,357.000000,0.000000,0.000000,0.766216,
131,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.687235,581.875000,0.000000,0.999892,1.264458,
132,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.059979,253.250000,0.000000,0.000000,0.620351,
133,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.804424,792.375000,0.000000,0.999859,0.892159,
134,500,0.000000,0.000000,1.000000,0.250000,0.125000,47.298269,1013.500000,0.000000,0.999859,1.548376,
135,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.620099,342.875000,0.000000,0.000000,0.887066,
136,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.159638,182.375000,0.000000,0.000000,0.910754,
137,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.506697,801.000000,0.000000,0.999892,0.976572,
138,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.231573,1005.000000,0.000000,0.000000,1.197056,
